file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason,agree_with_graph2d,correct_label,notes,reviewer,review_date
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04搅拌桨组件v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,机械制图,0.10047397017478943,,,True,True,2,soft,搅拌桨组件,0.95,exact,搅拌桨组件,搅拌桨组件,0.95,filename,filename_extracted;graph2d_drawing_type_ignored;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,机械制图,0.10047397017478943,0.17,confidence_source_not_rules,N,搅拌桨组件,从文件名提取: 搅拌桨组件; 低置信度(0.10),auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J1424042-51-01-08对接法兰v1.dxf,ok,moderate_component,0.600,rules,v1,零件图,0.09204511344432831,,,True,True,2,soft,对接法兰,0.95,exact,对接法兰,对接法兰,0.95,filename,filename_extracted;graph2d_drawing_type_ignored;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,零件图,0.09204511344432831,0.17,graph2d_drawing_type,N,对接法兰,从文件名提取: 对接法兰; 低置信度(0.09),auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-02搅拌器组件v2.dxf,ok,机械制图,1.000,fusion,L2-Fusion-v1,夹具,0.5637494325637817,,,False,True,2,soft,搅拌器组件,0.95,exact,搅拌器组件,搅拌器组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.6000000000000001,False,夹具,0.5637494325637817,0.17,confidence_source_not_rules,N,搅拌器组件,从文件名提取: 搅拌器组件,auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225048-02-07侧推料组件v1.dxf,ok,complex_assembly,0.550,rules,v1,夹具,0.3107106685638428,,,False,True,2,soft,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,True,夹具,0.3107106685638428,0.17,eligible,N,侧推料组件,从文件名提取: 侧推料组件,auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-05下封板v2.dxf,ok,moderate_component,0.600,rules,v1,零件图,0.13640795648097992,,,True,True,2,soft,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;graph2d_drawing_type_ignored;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,零件图,0.13640795648097992,0.17,graph2d_drawing_type,N,下封板,从文件名提取: 下封板; 低置信度(0.14),auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-04轴头组件v2.dxf,ok,complex_assembly,0.550,rules,v1,零件图,0.08466651290655136,,,True,True,2,soft,轴头组件,0.95,exact,轴头组件,轴头组件,0.95,filename,filename_extracted;graph2d_drawing_type_ignored;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,零件图,0.08466651290655136,0.17,graph2d_drawing_type,N,轴头组件,从文件名提取: 轴头组件; 低置信度(0.08),auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0724006-01下锥体组件v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,差动机构,0.07332487404346466,,,False,True,2,soft,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,差动机构,0.07332487404346466,0.17,confidence_source_not_rules,N,下锥体组件,从文件名提取: 下锥体组件; 低置信度(0.07),auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225048-02-07侧推料组件v2.dxf,ok,complex_assembly,0.550,rules,v1,夹具,0.3116936683654785,,,False,True,2,soft,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,True,夹具,0.3116936683654785,0.17,eligible,N,侧推料组件,从文件名提取: 侧推料组件,auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0525002-04-02过滤托架v4.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,夹具,0.7721245288848877,,,False,True,2,soft,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,夹具,0.7721245288848877,False,夹具,0.7721245288848877,0.17,confidence_source_not_rules,N,过滤托架,从文件名提取: 过滤托架,auto,2026-01-27
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0525002-04-02过滤托架v1.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,夹具,0.8116644620895386,,,False,True,2,soft,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,夹具,0.8116644620895386,False,夹具,0.8116644620895386,0.17,confidence_source_not_rules,N,过滤托架,从文件名提取: 过滤托架,auto,2026-01-27
