file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,传动件,0.17053472995758057,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,保护罩组件,0.95,exact,保护罩组件,保护罩组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,保护罩组件,0.85,保护罩组件,BTJ02230301120-03,组合件,26,26,Standard_Part,0.55,False,传动件,0.17053472995758057,0.19,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v1.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.15487298369407654,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,防爆视灯组件,0.95,exact,防爆视灯组件,防爆视灯组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,防爆视灯组件,0.85,防爆视灯组件,BTJ14240301522-00,组合件,27,27,Standard_Part,0.55,False,罐体,0.15487298369407654,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01人孔v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.1687496453523636,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,人孔,0.95,exact,人孔,人孔,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,人孔,0.85,人孔,J2925001-01,组合件,95,95,Standard_Part,0.55,False,传动件,0.1687496453523636,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,传动件,0.19101053476333618,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,蜗轮蜗杆传动出料机构,0.85,蜗轮蜗杆传动出料机构,BTJ01231301522-00,组合件,54,54,Standard_Part,0.6000000000000001,False,传动件,0.19101053476333618,0.19,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.1897643655538559,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,侧推料组件,0.85,侧推料组件,J0225048-02-07,组合件,90,90,Standard_Part,0.55,False,传动件,0.1897643655538559,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224025-06-01-03出料凸缘v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.17670242488384247,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,出料凸缘,0.85,出料凸缘,J0224025-06-01-03,组焊件,9,9,Standard_Part,0.55,False,传动件,0.17670242488384247,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v2.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.17204752564430237,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,扭转弹簧,0.85,扭转弹簧,BTJ01239601522-03,S31603,7,7,Standard_Part,0.55,False,传动件,0.17204752564430237,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230101102-12手轮组件v1.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.19552777707576752,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,手轮组件,0.95,exact,手轮组件,手轮组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,手轮组件,0.85,手轮组件,BTJ02230101102-12,组合件,24,24,Standard_Part,0.55,True,传动件,0.19552777707576752,0.19,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.16716919839382172,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,下筒体组件,0.95,exact,下筒体组件,下筒体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下筒体组件,0.85,下筒体组件,J2825003-05,组合件,63,63,Standard_Part,0.55,False,传动件,0.16716919839382172,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v3.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,传动件,0.17310237884521484,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下锥体组件,0.85,下锥体组件,J0724006-01,组合件,70,70,Standard_Part,0.55,False,传动件,0.17310237884521484,0.19,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224071-11捕集器组件v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.16803374886512756,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,捕集器组件,0.95,exact,捕集器组件,捕集器组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,捕集器组件,0.85,捕集器组件,J0224071-11,组合件,75,75,Standard_Part,0.55,False,传动件,0.16803374886512756,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225054-15罐体支腿v1.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,传动件,0.17743119597434998,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,罐体支腿,0.95,exact,罐体支腿,罐体支腿,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体支腿,0.85,罐体支腿,J0225054-15,组合件,38,38,Standard_Part,0.55,False,传动件,0.17743119597434998,0.19,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0001超声波法兰.dxf,ok,moderate_component,0.600,rules,v1,罐体,0.17072634398937225,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,超声波法兰,0.85,超声波法兰,LTJ012303106-0001,S31603Ⅱ,8,8,Standard_Part,0.55,False,罐体,0.17072634398937225,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0030连接法兰(大)v2.dxf,ok,moderate_component,0.600,rules,v1,罐体,0.16682642698287964,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,连接法兰(大),0.85,连接法兰(大),LTJ012303106-0030,S31603Ⅱ,8,8,Standard_Part,0.55,False,罐体,0.16682642698287964,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-00再沸器v1.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.17311632633209229,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,再沸器,0.85,再沸器,J2925001-00,S30408,416,416,Standard_Part,0.6000000000000001,False,传动件,0.17311632633209229,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-05管束v1.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.1765756607055664,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,管束,0.95,exact,管束,管束,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,管束,0.85,管束,J2925001-05,S30408,106,106,Standard_Part,0.6000000000000001,False,罐体,0.1765756607055664,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224036-10搅拌减速机机罩v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,传动件,0.18948598206043243,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,搅拌减速机机罩,0.95,exact,搅拌减速机机罩,搅拌减速机机罩,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌减速机机罩,0.85,搅拌减速机机罩,J0224036-10,组合件,63,63,Standard_Part,0.55,False,传动件,0.18948598206043243,0.19,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224025-06-01-03出料凸缘v1.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.1775481253862381,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,出料凸缘,0.85,出料凸缘,J0224025-06-01-03,组焊件,9,9,Standard_Part,0.55,False,传动件,0.1775481253862381,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239901522-00拖轮组件v1.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.1718876212835312,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,拖轮组件,0.95,exact,拖轮组件,拖轮组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,拖轮组件,0.85,拖轮组件,BTJ01239901522-00,组件,48,48,Standard_Part,0.55,False,传动件,0.1718876212835312,0.19,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v2.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,传动件,0.17298202216625214,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下锥体组件,0.85,下锥体组件,J0724006-01,组合件,58,58,Standard_Part,0.55,False,传动件,0.17298202216625214,0.19,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-00再沸器v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.17307692766189575,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,再沸器,0.85,再沸器,J2925001-00,S30408,443,443,Standard_Part,0.6000000000000001,False,传动件,0.17307692766189575,0.19,below_threshold
