file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/LTJ012303106-0030连接法兰(大)v1.dxf,ok,moderate_component,0.600,rules,v1,拖车,0.02775774523615837,1.0,,False,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,拖车,0.02775774523615837,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01239601522-03扭转弹簧v1.dxf,ok,moderate_component,0.600,rules,v1,轴承座,0.027648987248539925,1.0,,False,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,轴承座,0.027648987248539925,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-05下封板v2.dxf,ok,moderate_component,0.600,rules,v1,轴承座,0.027473868802189827,1.0,,False,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,轴承座,0.027473868802189827,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225004-04-05下封板v1.dxf,ok,moderate_component,0.600,rules,v1,轴承座,0.02747383341193199,1.0,,False,下封板,0.95,exact,下封板,下封板,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,轴承座,0.02747383341193199,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/BTJ01231201522-00拖车DN1500v1.dxf,ok,complex_assembly,0.550,rules,v1,拖车,0.027546389028429985,1.0,,False,拖车,0.5,partial_low,拖车DN1500,拖车,0.45826391670852895,fusion,filename_extracted;fusion_scored;fusion_multi_source_bonus,,,,,,,,Standard_Part,0.55,False,拖车,0.027546389028429985,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0224071-11捕集器组件v1.dxf,ok,complex_assembly,0.550,rules,v1,轴承座,0.027477877214550972,1.0,,False,捕集器组件,0.95,exact,捕集器组件,捕集器组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,轴承座,0.027477877214550972,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J0225009-04-03阀体v1.dxf,ok,complex_assembly,0.550,rules,v1,拖车,0.02770335040986538,1.0,,False,阀体,0.95,exact,阀体,阀体,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,拖车,0.02770335040986538,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825002-06上筒体组件v3.dxf,ok,complex_assembly,0.550,rules,v1,拖车,0.02809193544089794,1.0,,False,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,拖车,0.02809193544089794,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,moderate_component,0.600,rules,v1,轴承座,0.027874885126948357,1.0,,False,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,轴承座,0.027874885126948357,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf/J2825003-05下筒体组件v2.dxf,ok,complex_assembly,0.550,rules,v1,拖车,0.02738429605960846,1.0,,False,下筒体组件,0.95,exact,下筒体组件,下筒体组件,0.95,filename,filename_extracted;filename_high_conf_adopted,,,,,,,,Standard_Part,0.55,False,拖车,0.02738429605960846,0.17,below_threshold
